epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,11077.4,0.86621,0.74293,1.1184,0.86029,0.76156,0.83748,0.6154,0.97837,0.75793,1.17042,0.0001189,0.0001189,0.0001189
91,11203.1,0.84117,0.61883,1.09477,0.86317,0.75613,0.83727,0.61469,0.97862,0.7577,1.17114,0.000109,0.000109,0.000109
92,11319.7,0.81927,0.59041,1.08234,0.85564,0.76179,0.83833,0.61533,0.97804,0.7565,1.17111,9.91e-05,9.91e-05,9.91e-05
93,11436.7,0.81513,0.58578,1.08259,0.84012,0.77328,0.83791,0.61597,0.97815,0.75671,1.17164,8.92e-05,8.92e-05,8.92e-05
94,11553.6,0.80883,0.57623,1.0766,0.84262,0.77065,0.83755,0.61682,0.97766,0.75683,1.17146,7.93e-05,7.93e-05,7.93e-05
95,11670.6,0.80823,0.5793,1.07984,0.84734,0.76896,0.83801,0.61781,0.97753,0.75645,1.17203,6.94e-05,6.94e-05,6.94e-05
96,11787.7,0.80255,0.56973,1.07475,0.84836,0.77034,0.83871,0.61833,0.97727,0.75614,1.17208,5.95e-05,5.95e-05,5.95e-05
97,11904.6,0.7967,0.5655,1.07016,0.84967,0.76862,0.8386,0.61815,0.97704,0.75692,1.1722,4.96e-05,4.96e-05,4.96e-05
98,12021.3,0.7927,0.55967,1.0648,0.84908,0.76924,0.83857,0.61799,0.97649,0.75717,1.17188,3.97e-05,3.97e-05,3.97e-05
99,12138.1,0.79207,0.55818,1.06607,0.85044,0.76713,0.83753,0.61783,0.97594,0.757,1.17167,2.98e-05,2.98e-05,2.98e-05
100,12254.9,0.78916,0.55604,1.06376,0.85367,0.7645,0.83726,0.61803,0.97562,0.75739,1.17157,1.99e-05,1.99e-05,1.99e-05
