epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,436.695,0.91316,0.98294,1.19264,0.48118,0.38292,0.38297,0.23243,1.42544,2.02681,1.70794,0.000999023,0.000999023,0.000999023
6,524.236,0.84986,0.89011,1.15079,0.58344,0.39287,0.44611,0.27672,1.38021,1.68102,1.6546,0.000998474,0.000998474,0.000998474
7,611.954,0.80213,0.82089,1.12247,0.50195,0.43059,0.43186,0.27262,1.33778,1.81606,1.62992,0.000997803,0.000997803,0.000997803
8,699.251,0.76527,0.77462,1.1002,0.5767,0.44064,0.47801,0.30969,1.26831,1.61224,1.539,0.000997011,0.000997011,0.000997011
9,787.018,0.73447,0.73733,1.08382,0.58175,0.48061,0.50634,0.32696,1.23897,1.50372,1.51297,0.000996097,0.000996097,0.000996097
10,874.784,0.71199,0.70779,1.07163,0.56212,0.49921,0.51673,0.34783,1.19209,1.47209,1.46277,0.000995062,0.000995062,0.000995062
11,962.346,0.68497,0.6824,1.05752,0.58037,0.47085,0.49617,0.33172,1.23128,1.4474,1.49693,0.000993906,0.000993906,0.000993906
12,1049.63,0.6695,0.65793,1.04584,0.61694,0.51096,0.54789,0.37039,1.17535,1.3766,1.43669,0.000992629,0.000992629,0.000992629
13,1137.22,0.65174,0.64116,1.03817,0.64117,0.49013,0.54789,0.36512,1.18623,1.46932,1.4576,0.000991232,0.000991232,0.000991232
14,1224.3,0.64108,0.62618,1.03275,0.67964,0.49905,0.56013,0.37968,1.19522,1.38785,1.51191,0.000989715,0.000989715,0.000989715
15,1311.75,0.62553,0.60732,1.02453,0.64849,0.51266,0.56385,0.37744,1.18203,1.3801,1.44204,0.000988079,0.000988079,0.000988079
16,1398.93,0.6127,0.59312,1.01852,0.71611,0.51445,0.59234,0.41106,1.10228,1.26478,1.3831,0.000986323,0.000986323,0.000986323
17,1486.58,0.60293,0.5824,1.01091,0.6411,0.49994,0.55749,0.38071,1.15076,1.36506,1.44157,0.000984449,0.000984449,0.000984449
18,1573.74,0.59174,0.57109,1.00743,0.6285,0.54114,0.56683,0.39457,1.09126,1.34326,1.39099,0.000982456,0.000982456,0.000982456
1,86.8037,0.93324,1.35676,1.19542,0.65289,0.42426,0.49559,0.33192,1.13796,1.67061,1.41412,0.0801826,9.95851e-05,9.95851e-05
2,174.509,0.84855,0.86701,1.13251,0.54583,0.35922,0.40399,0.2488,1.32144,1.98807,1.5468,0.0602826,0.000199573,0.000199573
3,261.611,0.85576,0.87443,1.14191,0.51909,0.37061,0.39099,0.23461,1.39817,1.86473,1.65655,0.0403825,0.000299512,0.000299512
4,348.355,0.8582,0.89688,1.1508,0.50806,0.34626,0.36208,0.22187,1.36406,2.21625,1.62034,0.0204824,0.000399365,0.000399365
5,435.412,0.84751,0.88599,1.14618,0.42298,0.38223,0.35774,0.20977,1.31927,1.92912,1.57631,0.000582085,0.000499097,0.000499097
6,522.367,0.82393,0.85107,1.12959,0.57545,0.39007,0.43423,0.28225,1.28767,2.05478,1.54321,0.000499237,0.000499237,0.000499237
7,609.625,0.7799,0.78286,1.10207,0.60619,0.41352,0.46381,0.2944,1.34491,1.89447,1.63078,0.000498902,0.000498902,0.000498902
8,696.574,0.73685,0.73037,1.08085,0.62919,0.48039,0.52642,0.35673,1.26734,1.49357,1.54467,0.000498505,0.000498505,0.000498505
